Cliente	Anio	Mes	Minutos_Trabajados
15	2015	08	4069
15	2015	09	3432
15	2015	10	2742
15	2015	11	2847
15	2015	12	2659
15	2016	01	3013
15	2016	02	2746
15	2016	03	2729
15	2016	04	2777
15	2016	05	3031
15	2016	06	2831
15	2016	07	3244
15	2016	08	3505
15	2016	09	2585
15	2016	10	2858
15	2016	11	2698
15	2016	12	2909
15	2017	01	3314
15	2017	02	2355
15	2017	03	2506
15	2017	04	3421
15	2017	05	3061
15	2017	06	2447
15	2017	07	1965
15	2017	08	2721
15	2017	09	3017
15	2017	10	3952
15	2017	11	3425
15	2017	12	3596
15	2018	01	4133
15	2018	02	3280
15	2018	03	3499
15	2018	04	3365
15	2018	05	3476
15	2018	06	3408
15	2018	07	3844
15	2018	08	3666
15	2018	09	4817
15	2018	10	3558
15	2018	11	2893
15	2018	12	3682
15	2019	01	4339
15	2019	02	3961
15	2019	03	4978
15	2019	04	5391
15	2019	05	4408
15	2019	06	5841
15	2019	07	5787
15	2019	08	5266
15	2019	09	5326
15	2019	10	5313
15	2019	11	5170
15	2019	12	4049
15	2020	01	6176
15	2020	02	5575
15	2020	03	5781
15	2020	04	5768
15	2020	06	12657
15	2020	07	4127
15	2020	08	4128
15	2020	09	5246
15	2020	10	5247
15	2020	11	5961
15	2020	12	5961
15	2021	01	6376
15	2021	02	6376
15	2021	03	5582
15	2021	04	5583
24	2014	02	130
24	2014	04	142
24	2014	06	153
24	2014	08	159
24	2014	10	159
24	2014	12	185
24	2015	02	218
24	2015	04	238
24	2015	06	254
24	2015	08	257
24	2015	10	258
24	2015	12	244
24	2016	02	193
24	2016	04	176
24	2016	06	173
24	2016	08	156
24	2016	10	162
24	2016	12	163
24	2017	02	158
24	2017	04	153
24	2017	06	196
24	2017	08	213
24	2017	10	165
24	2017	12	165
24	2018	02	152
24	2018	04	164
24	2018	06	166
24	2018	08	177
24	2018	10	157
24	2018	12	153
24	2019	02	136
24	2019	04	148
24	2019	06	136
24	2019	08	212
24	2019	10	255
24	2019	12	162
24	2020	02	207
24	2020	03	136
24	2020	04	137
24	2020	06	279
24	2020	07	178
24	2020	08	179
24	2020	09	206
24	2020	10	206
24	2020	11	268
24	2020	12	268
24	2021	01	262
24	2021	02	262
24	2021	03	274
24	2021	04	274
36	2014	02	783
36	2014	02	62
36	2014	02	631
36	2014	02	351
36	2014	04	498
36	2014	04	322
36	2014	04	709
36	2014	04	61
36	2014	06	285
36	2014	06	356
36	2014	06	64
36	2014	06	628
36	2014	08	699
36	2014	08	389
36	2014	08	298
36	2014	08	61
36	2014	10	398
36	2014	10	659
36	2014	10	306
36	2014	12	326
36	2014	12	428
36	2014	12	648
36	2015	02	392
36	2015	02	708
36	2015	02	755
36	2015	04	349
36	2015	04	526
36	2015	04	64
36	2015	04	632
36	2015	06	537
36	2015	06	308
36	2015	06	64
36	2015	06	378
36	2015	08	195
36	2015	08	621
36	2015	08	390
36	2015	08	65
36	2015	10	628
36	2015	10	80
36	2015	10	395
36	2015	10	61
36	2015	12	586
36	2015	12	463
36	2016	02	61
36	2016	02	646
36	2016	02	782
36	2016	04	508
36	2016	04	588
36	2016	04	62
36	2016	06	552
36	2016	06	388
36	2016	06	70
36	2016	08	84
36	2016	08	578
36	2016	08	388
36	2016	08	70
36	2016	10	454
36	2016	10	193
36	2016	10	307
36	2016	10	76
36	2016	12	244
36	2016	12	454
36	2016	12	489
36	2016	12	71
36	2017	02	509
36	2017	02	312
36	2017	02	654
36	2017	02	69
36	2017	04	269
36	2017	04	407
36	2017	04	546
36	2017	04	61
36	2017	06	487
36	2017	06	407
36	2017	06	266
36	2017	06	64
36	2017	08	538
36	2017	08	391
36	2017	08	275
36	2017	08	68
36	2017	10	362
36	2017	10	495
36	2017	10	287
36	2017	10	67
36	2017	12	480
36	2017	12	323
36	2017	12	370
36	2017	12	61
36	2018	02	753
36	2018	02	423
36	2018	02	686
36	2018	02	65
36	2018	04	518
36	2018	04	279
36	2018	04	420
36	2018	04	65
36	2018	06	257
36	2018	06	530
36	2018	06	354
36	2018	06	63
36	2018	08	342
36	2018	08	278
36	2018	08	576
36	2018	08	80
36	2018	10	258
36	2018	10	560
36	2018	10	337
36	2018	10	75
36	2018	12	398
36	2018	12	509
36	2018	12	256
36	2018	12	95
36	2019	02	782
36	2019	02	413
36	2019	02	576
36	2019	02	72
36	2019	04	488
36	2019	04	361
36	2019	04	562
36	2019	04	78
36	2019	06	370
36	2019	06	465
36	2019	06	268
36	2019	06	83
36	2019	08	283
36	2019	08	331
36	2019	08	517
36	2019	08	95
36	2019	10	522
36	2019	10	282
36	2019	10	278
36	2019	10	84
36	2019	12	316
36	2019	12	523
36	2019	12	350
36	2019	12	83
36	2020	02	643
36	2020	02	743
36	2020	02	552
36	2020	02	88
36	2020	03	274
36	2020	03	269
36	2020	03	261
36	2020	03	68
36	2020	04	274
36	2020	04	269
36	2020	04	262
36	2020	04	68
36	2020	05	269
36	2020	06	270
36	2020	06	306
36	2020	06	375
36	2020	06	86
36	2020	07	146
36	2020	07	306
36	2020	07	199
36	2020	07	69
36	2020	08	147
36	2020	08	307
36	2020	08	199
36	2020	08	69
36	2020	09	253
36	2020	09	96
36	2020	09	161
36	2020	09	65
36	2020	10	254
36	2020	10	161
36	2020	10	96
36	2020	10	65
36	2020	11	207
36	2020	11	296
36	2020	11	107
36	2020	11	63
36	2020	12	297
36	2020	12	108
36	2020	12	208
36	2020	12	64
36	2021	01	338
36	2021	01	119
36	2021	01	312
36	2021	02	312
36	2021	02	120
36	2021	02	339
36	2021	02	61
36	2021	03	241
36	2021	03	293
36	2021	03	118
36	2021	03	63
36	2021	04	118
36	2021	04	293
36	2021	04	242
36	2021	04	63
38	2014	02	570
38	2014	04	523
38	2014	06	486
38	2014	08	491
38	2014	10	487
38	2014	12	408
38	2015	02	450
38	2015	04	420
38	2015	06	405
38	2015	08	448
38	2015	10	442
38	2015	12	475
38	2016	02	588
38	2016	04	508
38	2016	06	481
38	2016	08	456
38	2016	10	467
38	2016	12	475
38	2017	02	531
38	2017	04	421
38	2017	06	289
38	2017	08	225
38	2017	10	161
38	2017	12	180
38	2018	02	268
38	2018	04	201
38	2018	06	160
38	2018	08	139
38	2018	10	131
38	2018	12	149
38	2019	02	173
38	2019	04	179
38	2019	06	170
38	2019	08	289
38	2019	10	413
38	2019	12	198
38	2020	02	199
38	2020	03	103
38	2020	04	103
38	2020	06	123
38	2020	07	80
38	2020	08	80
38	2020	09	90
38	2020	10	91
38	2020	11	93
38	2020	12	94
38	2021	01	108
38	2021	02	108
38	2021	03	96
38	2021	04	97
46	2014	02	414
46	2014	04	349
46	2014	06	325
46	2014	08	329
46	2014	10	306
46	2014	12	331
46	2015	02	366
46	2015	04	321
46	2015	06	302
46	2015	08	307
46	2015	10	315
46	2015	12	321
46	2016	02	369
46	2016	04	313
46	2016	06	312
46	2016	10	358
46	2016	12	375
46	2017	02	431
46	2017	04	321
46	2017	06	313
46	2017	08	321
46	2017	10	315
46	2017	12	311
46	2018	02	448
46	2018	04	333
46	2018	06	317
46	2018	08	305
46	2018	10	307
46	2018	12	346
46	2019	02	415
46	2019	04	406
46	2019	06	374
46	2019	08	398
46	2019	10	406
46	2019	12	393
46	2020	02	451
46	2020	03	242
46	2020	04	243
46	2020	06	427
46	2020	07	230
46	2020	08	230
46	2020	09	219
46	2020	10	220
46	2020	11	229
46	2020	12	230
46	2021	01	238
46	2021	02	239
46	2021	03	238
46	2021	04	238
48	2018	04	174
48	2018	06	342
48	2018	08	361
48	2018	10	401
48	2018	12	400
48	2019	02	405
48	2019	04	423
48	2019	06	396
48	2019	08	410
48	2019	10	416
48	2019	12	410
48	2020	02	505
48	2020	03	221
48	2020	04	222
48	2020	06	270
48	2020	07	155
48	2020	08	155
48	2020	09	158
48	2020	10	159
48	2020	11	180
48	2020	12	181
48	2021	01	286
48	2021	02	287
48	2021	03	247
48	2021	04	248
57	2014	02	269
57	2014	04	254
57	2014	06	246
57	2014	08	233
57	2014	10	245
57	2014	12	254
57	2015	02	275
57	2015	04	243
57	2015	06	227
57	2015	08	279
57	2015	10	287
57	2015	12	308
57	2016	02	257
57	2016	04	274
57	2016	06	254
57	2016	08	275
57	2016	10	258
57	2016	12	283
57	2017	02	308
57	2017	04	263
57	2017	06	231
57	2017	08	228
57	2017	10	232
57	2017	12	258
57	2018	02	478
57	2018	04	253
57	2018	06	248
57	2018	08	247
57	2018	10	231
57	2018	12	236
57	2019	02	266
57	2019	04	250
57	2019	06	244
57	2019	08	266
57	2019	10	256
57	2019	12	256
57	2020	02	280
57	2020	03	161
57	2020	04	162
57	2020	06	233
57	2020	07	144
57	2020	08	145
57	2020	09	129
57	2020	10	130
57	2020	11	133
57	2020	12	133
57	2021	01	148
57	2021	02	148
57	2021	03	142
57	2021	04	143
60	2014	02	377
60	2014	04	292
60	2014	06	322
60	2014	08	466
60	2014	10	416
60	2014	12	317
60	2015	02	300
60	2015	04	225
60	2015	06	308
60	2015	08	349
60	2015	10	317
60	2015	12	328
60	2016	02	280
60	2016	04	341
60	2016	06	569
60	2016	10	363
60	2016	12	441
60	2017	02	143
60	2017	02	466
60	2017	04	339
60	2017	04	90
60	2017	06	270
60	2017	08	285
60	2017	10	272
60	2017	12	270
60	2017	12	230
60	2018	02	260
60	2018	02	372
60	2018	04	152
60	2018	04	231
60	2018	06	141
60	2018	06	195
60	2018	08	233
60	2018	08	191
60	2018	10	324
60	2018	10	196
60	2018	12	285
60	2018	12	230
60	2019	02	221
60	2019	02	200
60	2019	04	178
60	2019	04	200
60	2019	06	212
60	2019	06	159
60	2019	08	233
60	2019	08	159
60	2019	10	297
60	2019	10	165
60	2019	12	185
60	2019	12	161
60	2020	02	183
60	2020	02	162
60	2020	03	150
60	2020	03	104
60	2020	04	105
60	2020	04	151
60	2020	06	180
60	2020	06	140
60	2020	07	128
60	2020	07	98
60	2020	08	128
60	2020	08	99
60	2020	09	155
60	2020	09	95
60	2020	10	156
60	2020	10	96
60	2020	11	95
60	2020	11	137
60	2020	12	138
60	2020	12	96
60	2021	01	205
60	2021	01	101
60	2021	02	101
60	2021	02	206
60	2021	03	95
60	2021	03	128
60	2021	04	129
60	2021	04	96
65	2014	02	411
65	2014	04	355
65	2014	06	292
65	2014	08	309
65	2014	10	289
65	2014	12	342
65	2015	02	436
65	2015	04	368
65	2015	06	314
65	2015	08	315
65	2015	10	302
65	2015	12	310
65	2016	02	374
65	2016	04	343
65	2016	06	297
65	2016	08	286
65	2016	10	301
65	2016	12	332
65	2017	02	473
65	2017	04	433
65	2017	06	430
65	2017	08	405
65	2017	10	425
65	2017	12	519
65	2018	02	548
65	2018	04	503
65	2018	06	474
65	2018	08	511
65	2018	10	567
65	2018	12	554
65	2019	02	577
65	2019	04	513
65	2019	06	416
65	2019	08	357
65	2019	10	400
65	2019	12	458
65	2020	02	630
65	2020	03	265
65	2020	04	266
65	2020	06	448
65	2020	07	280
65	2020	08	280
65	2020	09	269
65	2020	10	269
65	2020	11	245
65	2020	12	246
65	2021	01	300
65	2021	02	300
65	2021	03	225
65	2021	04	225
66	2014	02	547
66	2014	04	494
66	2014	06	452
66	2014	08	437
66	2014	10	445
66	2014	12	413
66	2015	02	511
66	2015	04	465
66	2015	06	550
66	2015	08	549
66	2015	10	670
66	2015	12	771
66	2016	02	926
66	2016	04	868
66	2016	06	706
66	2016	08	639
66	2016	10	626
66	2016	12	726
66	2017	02	719
66	2017	04	656
66	2017	06	612
66	2017	08	591
66	2017	10	599
66	2017	12	719
66	2018	02	790
66	2018	04	763
66	2018	06	654
66	2018	08	632
66	2018	10	658
66	2018	12	657
66	2019	02	676
66	2019	04	896
66	2019	06	711
66	2019	08	574
66	2019	10	536
66	2019	12	406
66	2020	02	443
66	2020	03	168
66	2020	04	169
66	2020	06	253
66	2020	07	139
66	2020	08	140
66	2020	09	133
66	2020	10	133
66	2020	11	132
66	2020	12	133
66	2021	01	164
66	2021	02	164
66	2021	03	155
66	2021	04	156
70	2014	02	507
70	2014	04	417
70	2014	06	518
70	2014	08	544
70	2014	10	541
70	2014	12	405
70	2015	02	497
70	2015	04	391
70	2015	06	452
70	2015	08	541
70	2015	10	491
70	2015	12	404
70	2016	02	451
70	2016	04	417
70	2016	06	465
70	2016	08	524
70	2016	10	516
70	2016	12	455
70	2017	02	472
70	2017	04	414
70	2017	06	479
70	2017	08	595
70	2017	10	546
70	2017	12	454
70	2018	02	567
70	2018	04	438
70	2018	06	501
70	2018	08	551
70	2018	10	542
70	2018	12	460
70	2019	02	508
70	2019	04	487
70	2019	06	505
70	2019	08	595
70	2019	10	545
70	2019	12	449
70	2020	02	489
70	2020	03	239
70	2020	04	240
70	2020	06	592
70	2020	07	307
70	2020	08	307
70	2020	09	191
70	2020	10	191
70	2020	11	167
70	2020	12	167
70	2021	01	190
70	2021	02	191
70	2021	03	162
70	2021	04	162
71	2014	02	431
71	2014	04	359
71	2014	06	376
71	2014	08	433
71	2014	10	437
71	2014	12	357
71	2015	02	362
71	2015	04	281
71	2015	06	376
71	2015	08	413
71	2015	10	436
71	2015	12	414
71	2016	02	436
71	2016	04	451
71	2016	06	444
71	2016	08	422
71	2016	10	438
71	2016	12	446
71	2017	02	520
71	2017	04	423
71	2017	06	411
71	2017	08	422
71	2017	10	447
71	2017	12	453
71	2018	02	771
71	2018	04	451
71	2018	06	453
71	2018	08	538
71	2018	10	502
71	2018	12	500
71	2019	02	784
71	2019	04	442
71	2019	06	343
71	2019	08	412
71	2019	10	391
71	2019	12	347
71	2020	02	497
71	2020	03	200
71	2020	04	201
71	2020	06	219
71	2020	07	185
71	2020	08	186
71	2020	09	174
71	2020	10	175
71	2020	11	172
71	2020	12	172
71	2021	01	281
71	2021	02	281
71	2021	03	252
71	2021	04	252
76	2014	02	437
76	2014	04	326
76	2014	06	313
76	2014	08	369
76	2014	10	365
76	2014	12	377
76	2015	02	455
76	2015	04	402
76	2015	06	361
76	2015	08	359
76	2015	10	344
76	2015	12	375
76	2016	02	439
76	2016	04	391
76	2016	06	333
76	2016	08	336
76	2016	10	373
76	2016	12	409
76	2017	02	445
76	2017	04	406
76	2017	06	368
76	2017	08	348
76	2017	10	345
76	2017	12	373
76	2018	02	457
76	2018	04	418
76	2018	06	377
76	2018	08	411
76	2018	10	406
76	2018	12	439
76	2019	02	477
76	2019	04	482
76	2019	06	445
76	2019	08	458
76	2019	10	395
76	2019	12	389
76	2020	02	448
76	2020	03	226
76	2020	04	226
76	2020	06	388
76	2020	07	228
76	2020	08	229
76	2020	09	218
76	2020	10	219
76	2020	11	247
76	2020	12	247
76	2021	01	269
76	2021	02	269
76	2021	03	242
76	2021	04	242
87	2014	02	499
87	2014	04	527
87	2014	06	458
87	2014	08	442
87	2014	10	424
87	2014	12	445
87	2015	02	523
87	2015	04	472
87	2015	06	449
87	2015	08	476
87	2015	10	478
87	2015	12	501
87	2016	02	525
87	2016	04	512
87	2016	06	478
87	2016	08	523
87	2016	10	495
87	2016	12	542
87	2017	02	571
87	2017	04	468
87	2017	06	510
87	2017	08	524
87	2017	10	533
87	2017	12	551
87	2018	02	677
87	2018	04	460
87	2018	06	469
87	2018	08	486
87	2018	10	436
87	2018	12	496
87	2019	02	493
87	2019	04	550
87	2019	06	454
87	2019	08	465
87	2019	10	460
87	2019	12	452
87	2020	02	572
87	2020	03	258
87	2020	04	258
87	2020	06	388
87	2020	07	192
87	2020	08	193
87	2020	09	181
87	2020	10	181
87	2020	11	190
87	2020	12	190
87	2021	01	240
87	2021	02	240
87	2021	03	241
87	2021	04	241
89	2014	02	1330
89	2014	04	1160
89	2014	06	953
89	2014	08	882
89	2014	10	1040
89	2014	12	1070
89	2015	02	1647
89	2015	04	1304
89	2015	06	1080
89	2015	08	909
89	2015	10	1011
89	2015	12	1230
89	2016	02	1812
89	2016	04	1149
89	2016	06	1072
89	2016	08	898
89	2016	10	1369
89	2016	12	1494
89	2017	02	1279
89	2017	04	740
89	2017	06	591
89	2017	08	589
89	2017	10	482
89	2017	12	487
89	2018	02	1012
89	2018	04	530
89	2018	06	462
89	2018	08	526
89	2018	10	430
89	2018	12	395
89	2019	02	400
89	2019	04	376
89	2019	06	347
89	2019	08	383
89	2019	10	357
89	2019	12	337
89	2020	02	479
89	2020	03	265
89	2020	04	266
89	2020	06	457
89	2020	07	258
89	2020	08	259
89	2020	09	269
89	2020	10	270
89	2020	11	275
89	2020	12	276
89	2021	01	328
89	2021	02	329
89	2021	03	287
89	2021	04	288
97	2014	02	387
97	2014	04	185
97	2014	06	158
97	2014	08	239
97	2014	10	288
97	2014	12	348
97	2015	02	408
97	2015	04	396
97	2015	06	340
97	2015	08	345
97	2015	10	342
97	2015	12	369
97	2016	02	420
97	2016	04	389
97	2016	06	351
97	2016	08	327
97	2016	10	341
97	2016	12	382
97	2017	02	422
97	2017	04	384
97	2017	06	345
97	2017	08	340
97	2017	10	339
97	2017	12	374
97	2018	02	497
97	2018	04	406
97	2018	06	387
97	2018	08	414
97	2018	10	357
97	2018	12	411
97	2019	02	484
97	2019	04	476
97	2019	06	431
97	2019	08	416
97	2019	10	392
97	2019	12	394
97	2020	02	381
97	2020	03	193
97	2020	04	194
97	2020	06	260
97	2020	07	132
97	2020	08	132
97	2020	09	100
97	2020	10	100
97	2020	11	88
97	2020	12	88
97	2021	01	158
97	2021	02	158
97	2021	03	71
97	2021	04	71
99	2014	02	456
99	2014	04	460
99	2014	06	387
99	2014	08	333
99	2014	08	335
99	2014	10	197
99	2014	10	327
99	2014	12	321
99	2014	12	322
99	2015	02	474
99	2015	02	389
99	2015	04	436
99	2015	04	345
99	2015	06	292
99	2015	06	324
99	2015	08	74
99	2015	08	322
99	2015	10	313
99	2015	12	295
99	2016	02	366
99	2016	04	332
99	2016	06	303
99	2016	08	338
99	2016	10	311
99	2016	12	297
99	2017	02	363
99	2017	04	295
99	2017	06	305
99	2017	08	325
99	2017	10	310
99	2017	12	304
99	2018	02	482
99	2018	04	323
99	2018	06	329
99	2018	08	331
99	2018	10	332
99	2018	12	325
99	2019	02	372
99	2019	02	228
99	2019	04	106
99	2019	04	333
99	2019	06	320
99	2019	08	325
99	2019	10	305
99	2019	12	337
99	2020	02	385
99	2020	03	198
99	2020	04	199
99	2020	06	364
99	2020	07	196
99	2020	08	196
99	2020	09	159
99	2020	10	160
99	2020	11	170
99	2020	12	170
99	2021	01	260
99	2021	02	261
99	2021	03	215
99	2021	04	215
109	2014	02	300
109	2014	04	230
109	2014	06	247
109	2014	08	257
109	2014	10	254
109	2014	12	235
109	2015	02	299
109	2015	04	242
109	2015	06	270
109	2015	08	282
109	2015	10	219
109	2015	12	212
109	2016	02	278
109	2016	04	221
109	2016	06	234
109	2016	08	260
109	2016	10	232
109	2016	12	92
109	2017	02	66
109	2017	04	61
109	2017	06	62
109	2017	08	63
109	2017	10	61
109	2017	12	62
109	2018	02	62
109	2018	04	61
121	2014	02	141
121	2014	04	133
121	2014	06	117
121	2014	08	114
121	2014	10	123
121	2014	12	115
121	2015	02	145
121	2015	04	134
121	2015	06	121
121	2015	08	130
121	2015	10	133
121	2015	12	146
121	2016	02	170
121	2016	04	160
121	2016	06	144
121	2016	08	148
121	2016	10	160
121	2016	12	154
121	2017	02	173
121	2017	04	151
121	2017	06	151
121	2017	08	158
121	2017	10	155
121	2017	12	159
121	2018	02	176
121	2018	04	159
121	2018	06	155
121	2018	08	144
121	2018	10	148
121	2018	12	151
121	2019	02	159
121	2019	04	158
121	2019	06	148
121	2019	08	159
121	2019	10	154
121	2019	12	152
121	2020	02	166
121	2020	03	106
121	2020	04	107
121	2020	06	141
121	2020	07	96
121	2020	08	96
121	2020	09	78
121	2020	10	78
121	2020	11	90
121	2020	12	91
121	2021	01	103
121	2021	02	104
121	2021	03	93
121	2021	04	94
122	2014	02	697
122	2014	04	467
122	2014	06	374
122	2014	08	384
122	2014	10	426
122	2014	12	521
122	2015	02	733
122	2015	04	632
122	2015	06	504
122	2015	08	499
122	2015	10	495
122	2015	12	580
122	2016	02	767
122	2016	04	541
122	2016	06	441
122	2016	08	489
122	2016	10	529
122	2016	12	616
122	2017	02	826
122	2017	04	640
122	2017	06	583
122	2017	08	570
122	2017	10	561
122	2017	12	600
122	2018	02	1300
122	2018	04	704
122	2018	06	555
122	2018	08	540
122	2018	10	550
122	2018	12	622
122	2019	02	856
122	2019	04	607
122	2019	06	484
122	2019	08	499
122	2019	10	479
122	2019	12	474
122	2020	02	544
122	2020	03	292
122	2020	04	292
122	2020	06	480
122	2020	07	264
122	2020	08	264
122	2020	09	256
122	2020	10	257
122	2020	11	261
122	2020	12	261
122	2021	01	320
122	2021	02	320
122	2021	03	284
122	2021	04	285
125	2014	02	325
125	2014	04	287
125	2014	06	313
125	2014	08	372
125	2014	10	330
125	2014	12	274
125	2015	02	357
125	2015	04	311
125	2015	06	336
125	2015	08	332
125	2015	10	324
125	2015	12	339
125	2016	02	354
125	2016	04	299
125	2016	06	320
125	2016	08	383
125	2016	10	372
125	2016	12	326
125	2017	02	364
125	2017	04	314
125	2017	06	336
125	2017	08	347
125	2017	10	325
125	2017	12	293
125	2018	02	425
125	2018	04	297
125	2018	06	312
125	2018	08	329
125	2018	10	297
125	2018	12	288
125	2019	02	316
125	2019	04	270
125	2019	06	264
125	2019	08	294
125	2019	10	268
125	2019	12	257
125	2020	02	373
125	2020	03	167
125	2020	04	167
125	2020	06	268
125	2020	07	162
125	2020	08	163
125	2020	09	148
125	2020	10	149
125	2020	11	151
125	2020	12	152
125	2021	01	168
125	2021	02	168
125	2021	03	162
125	2021	04	163
126	2014	02	277
126	2014	04	207
126	2014	06	247
126	2014	08	263
126	2014	10	277
126	2014	12	308
126	2015	02	343
126	2015	04	262
126	2015	06	289
126	2015	08	318
126	2015	10	318
126	2015	12	318
126	2016	02	360
126	2016	04	306
126	2016	06	239
126	2016	08	253
126	2016	10	240
126	2016	12	222
126	2017	02	243
126	2017	04	211
126	2017	06	218
126	2017	08	198
126	2017	10	181
126	2017	12	176
126	2018	02	207
126	2018	04	187
126	2018	06	194
126	2018	08	200
126	2018	10	186
126	2018	12	173
126	2019	02	397
126	2019	04	348
126	2019	06	296
126	2019	08	282
126	2019	10	196
126	2019	12	179
126	2020	02	364
126	2020	03	143
126	2020	04	143
126	2020	06	194
126	2020	07	121
126	2020	08	121
126	2020	09	132
126	2020	10	132
126	2020	11	145
126	2020	12	146
126	2021	01	225
126	2021	02	225
126	2021	03	192
126	2021	04	193
139	2014	02	416
139	2014	04	354
